symbol,type,line,scope
print,LIBRARY_FUNCTION,0,0
input,LIBRARY_FUNCTION,0,0
objectmemberkeys,LIBRARY_FUNCTION,0,0
objecttotalmembers,LIBRARY_FUNCTION,0,0
objectcopy,LIBRARY_FUNCTION,0,0
totalarguments,LIBRARY_FUNCTION,0,0
argument,LIBRARY_FUNCTION,0,0
typeof,LIBRARY_FUNCTION,0,0
strtonum,LIBRARY_FUNCTION,0,0
sqrt,LIBRARY_FUNCTION,0,0
cos,LIBRARY_FUNCTION,0,0
sin,LIBRARY_FUNCTION,0,0
x,GLOBAL_VARIABLE,1,0
ff,USER_FUNCTION,7,0
gg,USER_FUNCTION,21,0
hh,USER_FUNCTION,26,0
c,FORMAL_ARGUMENT,7,1
jj,USER_FUNCTION,11,1
x,LOCAL_VARIABLE,14,2
